,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,Lowe's,,,,,,,,,,,,,,,HOME TO ANY POSSIBILITY,,,,,,,"When Lowe's hired a new CMO at the top of 2020, she handed us a hard hat and called for a brand renovation.

Could we bring style and sophistication… to the world of tools, hardware, and appliances?

Our insight: appeal to a wider audience beyond the typical DIYer. Inspire renters, first-time home buyers and the design-savvy to jump in. From here, the team I led crafted an entirely new look, tone, sound, and tagline. With an elevated style, friendlier voice, and a fully rearchitected creative platform, we helped democratize home improvement, tell the world Lowe's is Home to Any Possibility and increase sales by 30%.",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,"Home to Any Possibility. 
A new campaign and brand remodel. ",,RETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FILM  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,Lowe's,,,,,FILM  ,,,,,,,,,,MAKE MORE HOLIDAY,,,,,,,"The pandemic kept us apart…for a very long time. Would Holiday ‘21 be the moment to finally reunite us? Unprompted, we presented an emotional brand spot where even the inflatables share the same sentiment. Client let us produce it. Lowe’s sold out of all their holiday inventory long before Dec 24th.",,,,,,#9B1A32,,,,,,,#000000
,,,,,,"
A holiday film about togetherness.  ",,RETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,Lowe's,,,"Providing building materials 
to builders of the Metaverse.",,SOCIAL,,,,,,,,,,LOWE'S OPEN BUILDER,,,,,,,"Our clients asked us: How can we get in on the ground floor of the Metaverse? Could we do it in six weeks to maximize PR opportunities at Cannes? 

To accelerate our timeline, we started with something that Lowe's already owned, an extensive 3D product catalog 
of over 5500 renderings. What if Lowe's offered these building materials to Metaverse virtual creators? 

My team quickly built a website called Open Builder, providing free downloads of these 3D assets. Then we created wearable NFTs, granting tokenized access to curated packs of Open Builder objects. And voila, Lowe's was the very first home improvement store in the Metaverse, the press took notice and the CMO worked 
the PR circuit at Cannes for additional earned media. ",,,,,,F0F0F0,,,,,,,#000000
,,,,,,,,ACTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,Lowe's,,,A film highlighting an initiative for military families. ,,,,,,,,,,,,ALWAYS HOME,,,,,,,"Lowe’s asked us to boost a key initiative: drive program sign-ups for military families.

We dove in with a research-heavy approach, focused on interviews with “military brats,” and hit upon a key insight: these people moved so frequently that they never put roots down or felt like they belonged anywhere. We crafted a film and digital campaign that positioned Lowe’s as a solution to help military families feel “at home,” and get connected, quickly.  

The work not only generated a significant increase in awareness and a spike in sign-ups, it also, apparently, really got under the skin of a certain unnamed competitor. ",,,,,,#90A0A0,,,,,,,#000000
,,,,,,,,FILM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Lowe's,,,,,FILM  ,,,,,,,,,,LOWE'S FATHER'S DAY,,,,,,,"Inspired by the magical world of Willy Wonka, Dad becomes a kid in a candy store when he goes to Lowe’s on Father’s Day. (Many a dad’s dream, surprisingly or not.) 

I pushed hard to license ‘The Candy Man’ and then had it covered by Louise Post of the band Veruca Salt for a fresh take. This second layer Easter egg makes me 
happy and gives dads one more thing to smile about, which they genuinely deserve on Father’s Day.",,,,,,#DDE1E4,,,,,,,#000000
,,,,,,Lowe’s Dad becomes a kid in a candy store on Father’s Day.,,RETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,Quickbooks,,,"A 360 campaign that turns grumpy business owners into happy ones.  
",,FILM  ,,,,,,,,,,HAPPIER BUSINESS,,,,,,,"One of the business challenges Quickbooks faced was the conversion of small businesses from using spreadsheets to using their software. 

To show the dramatic potential of Quickbooks and inspire change, we transformed iconic, notoriously grumpy, television characters who had small businesses. FY20 global launch. Note: one of our original spots featured the Soup Nazi from Seinfeld, but the client, wanting to play it safe, pulled the plug. No soup for you!

The spots were part of a $100m integrated campaign spanning channels from social and digital to broadcast and OLVs. We even created a line of Dojo merch. ",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,,,SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,Quickbooks,,,,,,,,,,,,,,,QB SOCIAL DESIGN,,,,,,,"QuickBooks puts small business owners at the center of everything they do. So we created a friendly and flexible visual language that put people at the forefront of QuickBooks social communication. It was key to bring an optimistic and conversational tone to the feed. One that would give the sense that QuickBooks was speaking to their followers in a person-to-person kind of way, and not in a brand-to-person way.",,,,,,#FFFFFF,,,,,,,#000000
